22/11/2023 18:06:10 | help 
22/11/2023 18:06:36 | help 
22/11/2023 18:06:58 | help 
22/11/2023 18:07:02 | help 
22/11/2023 18:07:18 | help 
22/11/2023 18:22:52 | createtodo Title Medium 28/01/2023 2
22/11/2023 18:22:54 | createtodo Title Medium 28/01/2023 1
22/11/2023 18:23:01 | showtodos 
22/11/2023 18:23:42 | deletetodo Medium
22/11/2023 18:23:44 | showtodos 
22/11/2023 18:59:25 | filtertodo priority
22/11/2023 18:59:34 | filtertodo date
22/11/2023 18:59:56 | filtertodo priority Low
22/11/2023 19:00:02 | filtertodo priority Medium
22/11/2023 19:00:23 | filtertodo date 29/01/2025
22/11/2023 19:00:40 | filtertodo taskuser 1
22/11/2023 19:00:45 | filtertodo taskuser 2
22/11/2023 19:00:59 | filtertodo completed true
22/11/2023 19:01:03 | filtertodo completed false
